what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340368064991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340368071095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340368074364
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340368074817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340368077273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340368079144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340368111472
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340368115915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340368483419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340368797591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340368816102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340368946597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340368949316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340369454740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340369464115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340369585451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340369601663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340369603241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340369629289
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340369631549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340369647450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340369667840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340369668928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340369832359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340369900343
