what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340362277466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340362292232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340362299195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340362300057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340362317555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340362317568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340362346392
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340362356962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340362360594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340362360606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340362365328
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340362373771
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340362373771
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340362375779
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340362375779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340362413953
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340362419798
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340362429363
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340362429402
