what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340373058495
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340373059087
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340373059863
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340373060719
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340373061807
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1340373062351
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1340373070888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340373135435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340373143688
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1340373150462
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340373150481
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340373152621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340373154952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340373322012
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340373327670
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340373329227
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340373374105
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340373516708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340373525281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340373527343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340374542009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1340374577873
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1340374580310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340374583181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340374628198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340374944333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340374957070
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340374976802
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340374991844
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340374991915
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340374991935
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340375022912
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1340375029066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375030765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375030997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340375061831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375120515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375469512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375470875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375471623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375472188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375472840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375473488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375474072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375474717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375584816
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340375588071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375793270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375876334
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340375882201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340375893344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340375920603
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1340375942435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375946335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340375946582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340376060932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340376065456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340376125888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340376187858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340376228925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340376229118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340376229300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340376229499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340376229677
